TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:06.682832;190-0-175-100.gba.solunet.com.ar.2558;184.107.43.74.http:;[S],;763370841:763370961,;Vide;512,;Vide;120:
11:42:06.682848;190-0-175-100.gba.solunet.com.ar.2559;184.107.43.74.http:;[S],;629902483:629902603,;Vide;512,;Vide;120:
11:42:06.682865;190-0-175-100.gba.solunet.com.ar.2560;184.107.43.74.http:;[S],;1167925997:1167926117,;Vide;512,;Vide;120:
11:42:06.682881;190-0-175-100.gba.solunet.com.ar.2561;184.107.43.74.http:;[S],;1590590930:1590591050,;Vide;512,;Vide;120:
11:42:06.682898;190-0-175-100.gba.solunet.com.ar.2562;184.107.43.74.http:;[S],;1025391341:1025391461,;Vide;512,;Vide;120:
11:42:06.682915;190-0-175-100.gba.solunet.com.ar.2563;184.107.43.74.http:;[S],;22267219:22267339,;Vide;512,;Vide;120:
11:42:06.682931;190-0-175-100.gba.solunet.com.ar.2564;184.107.43.74.http:;[S],;1838110461:1838110581,;Vide;512,;Vide;120:
11:42:06.682947;190-0-175-100.gba.solunet.com.ar.2565;184.107.43.74.http:;[S],;1314325144:1314325264,;Vide;512,;Vide;120:
11:42:06.682964;190-0-175-100.gba.solunet.com.ar.2566;184.107.43.74.http:;[S],;1221538397:1221538517,;Vide;512,;Vide;120:
11:42:06.682980;190-0-175-100.gba.solunet.com.ar.2567;184.107.43.74.http:;[S],;121272366:121272486,;Vide;512,;Vide;120:
11:42:06.682997;190-0-175-100.gba.solunet.com.ar.2568;184.107.43.74.http:;[S],;1689815904:1689816024,;Vide;512,;Vide;120:
11:42:06.683013;190-0-175-100.gba.solunet.com.ar.2569;184.107.43.74.http:;[S],;424777574:424777694,;Vide;512,;Vide;120:
11:42:06.683038;190-0-175-100.gba.solunet.com.ar.2570;184.107.43.74.http:;[S],;1811461816:1811461936,;Vide;512,;Vide;120:
11:42:06.683058;190-0-175-100.gba.solunet.com.ar.2571;184.107.43.74.http:;[S],;891455149:891455269,;Vide;512,;Vide;120:
11:42:06.683077;190-0-175-100.gba.solunet.com.ar.2572;184.107.43.74.http:;[S],;378465819:378465939,;Vide;512,;Vide;120:
11:42:06.683096;190-0-175-100.gba.solunet.com.ar.2573;184.107.43.74.http:;[S],;1060801994:1060802114,;Vide;512,;Vide;120:
11:42:06.683115;190-0-175-100.gba.solunet.com.ar.2574;184.107.43.74.http:;[S],;887047860:887047980,;Vide;512,;Vide;120:
